Participant,F1,F2,F3,F4,F5,F6
1,31,48,20,19,28,16
2,31,47,19,17,25,14
3,36,46,19,18,26,15
4,32,54,12,17,26,18
5,37,47,22,19,20,17
6,36,51,20,17,25,12
7,36,56,22,17,25,16
8,39,49,18,19,25,20
9,36,52,21,18,30,15
10,35,58,28,19,24,15
11,33,48,20,15,19,16
12,38,56,28,20,35,19
13,30,45,18,16,21,16
14,30,52,23,18,23,18
15,30,49,17,17,20,15
16,30,54,26,19,29,19
17,32,55,18,18,23,17
18,33,51,6,18,26,15
19,36,55,21,19,23,17
20,31,41,17,16,23,18
21,32,60,22,19,32,19
22,36,55,12,18,23,17
23,30,51,22,20,25,15
24,34,51,17,18,24,17
25,38,53,24,19,26,18
26,29,44,16,18,25,17
27,32,51,20,19,29,17
28,27,50,20,17,23,18
29,29,53,16,21,24,16
30,31,47,18,17,23,19
31,36,57,22,20,23,16
32,34,50,19,17,24,17
33,29,52,18,20,20,15
34,38,57,16,18,23,15
35,31,52,17,16,23,17
36,25,47,14,16,18,19
37,36,55,16,17,20,15
38,25,43,10,16,27,20
39,23,45,15,18,23,17
40,36,51,17,19,21,18
41,24,44,17,18,24,18
42,34,52,23,17,25,20
43,36,56,14,18,26,15
44,32,54,20,18,23,14
45,38,58,17,19,26,18
46,26,57,23,17,21,14
47,27,51,21,17,22,13
48,36,54,20,16,27,17
49,32,49,17,17,22,14
50,32,49,22,17,25,18
51,34,52,24,21,21,15
52,32,51,18,16,22,17
53,39,56,22,22,18,14
54,38,58,25,17,26,16
55,31,48,24,18,29,16
56,35,51,14,21,22,18
57,39,55,21,18,24,20
58,35,51,15,15,22,16
59,35,53,24,20,23,15
60,38,57,29,20,28,18
61,29,53,22,17,30,19
62,34,53,23,17,27,17
63,34,49,18,18,22,19
64,37,56,23,20,24,19
65,30,49,24,17,30,18
66,28,52,9,20,20,17
67,38,58,25,22,27,13
68,38,56,23,22,25,18
69,35,60,23,18,31,15
70,36,60,23,18,22,14
71,40,59,22,21,25,17
72,35,55,22,21,29,18
73,38,57,30,19,34,17
74,35,56,24,20,25,16
75,30,51,20,17,18,17
76,37,45,16,19,23,19
77,32,48,19,17,22,14
78,33,49,13,18,17,16
79,36,54,15,17,24,17
80,40,58,28,17,20,15
81,38,57,22,18,27,18
82,30,53,20,22,23,17
83,30,56,18,21,20,13
84,31,49,20,17,25,17
85,29,52,20,16,28,20
86,31,47,11,16,25,20
87,31,52,15,18,25,17
88,36,47,21,20,23,16
89,31,49,21,17,25,16
90,36,54,17,18,21,19
91,34,58,21,17,29,18
92,30,52,16,19,21,14
93,39,55,15,15,23,16
94,30,51,24,19,22,16
95,37,59,25,22,23,15
96,34,52,19,20,25,16
97,30,48,13,20,28,21
98,36,58,18,18,23,17
99,36,53,19,18,25,15
100,26,49,18,18,23,15
101,32,49,19,16,24,16
102,31,48,23,18,24,17
103,32,56,23,19,21,13
104,30,48,23,18,30,19
105,30,48,18,17,22,17
106,35,45,22,19,24,16
107,31,51,17,19,22,14
108,32,54,25,18,29,19
109,32,56,22,18,26,16
110,37,59,19,20,27,13
111,33,46,24,17,25,17
112,38,54,23,16,27,17
113,35,52,23,18,23,16
114,33,50,21,16,24,17
115,35,50,24,17,29,18
116,33,54,14,17,26,16
117,39,55,24,17,25,16
118,28,49,21,19,25,17
119,32,49,18,16,27,19
120,37,57,22,18,26,17
121,24,55,6,16,23,20
122,33,52,21,20,28,20
123,29,43,17,15,23,15
124,37,56,22,19,25,17
125,32,47,23,18,23,16
126,35,46,12,17,31,17
127,31,49,20,19,20,14
128,32,53,22,20,22,15
129,29,51,14,21,23,15
130,35,51,23,16,25,18
131,39,58,22,19,22,15
132,38,57,22,22,22,14
133,31,48,18,18,24,18
134,31,54,17,19,25,19
135,39,51,22,18,22,15
136,37,59,13,19,20,17
137,34,44,15,18,22,17
138,33,52,20,19,20,13
139,34,52,21,19,26,15
140,30,49,18,20,21,16
141,34,58,20,18,26,16
142,38,54,21,20,23,18
143,36,49,16,16,19,14
144,39,50,23,20,23,18
145,37,49,13,16,23,16
146,37,50,13,18,23,16
147,33,51,20,20,23,15
148,30,52,15,20,22,18
149,35,55,18,19,20,17
150,38,59,28,18,33,17
151,40,58,9,17,26,11
152,33,49,22,19,23,17
153,27,51,21,20,24,19
154,40,55,24,23,24,19
155,27,46,21,20,25,17
156,39,54,24,17,22,14
157,40,57,22,22,20,14
158,34,50,15,16,22,16
159,26,48,12,20,28,20
160,31,51,22,19,28,16
161,32,48,22,16,24,16
162,33,47,23,18,26,17
163,35,51,25,18,17,14
164,37,57,24,21,25,14
165,38,57,9,17,20,15
166,33,51,21,19,28,19
167,30,47,22,19,21,16
168,38,53,20,19,22,16
169,35,49,20,20,23,17
170,39,59,27,19,26,15
171,35,57,18,19,21,16
172,40,57,26,21,23,16
173,30,56,19,24,18,17
174,36,55,20,17,22,18
175,38,59,24,18,28,16
176,33,54,21,20,26,18
177,39,57,25,20,26,17
178,32,45,22,21,22,18
179,36,54,22,17,21,15
180,36,57,23,19,30,16
181,39,57,25,19,24,16
182,35,48,20,18,21,18
183,36,48,20,20,23,19
184,33,48,9,20,18,16
185,39,59,13,18,26,18
186,39,54,25,18,20,15
187,37,53,23,20,25,21
188,36,56,23,17,24,17
189,35,57,23,18,17,18
