"","X","F1","F2","F3","F4","F5","F6"
"1",1,17,24,16,13,20,12
"2",2,17,25,17,13,21,10
"3",3,12,20,17,12,16,13
"4",4,16,18,24,15,18,14
"5",5,11,25,14,11,12,11
"6",6,12,21,16,7,11,6
"7",7,12,16,14,11,19,8
"8",8,9,23,18,9,19,14
"9",9,12,20,15,8,18,11
"10",10,13,14,8,11,8,7
"11",11,15,24,16,11,17,10
"12",12,10,16,8,8,19,11
"13",13,18,27,18,14,15,12
"14",14,18,20,13,12,17,12
"15",15,18,23,19,11,18,7
"16",16,18,18,10,7,17,19
"17",17,16,17,18,12,19,9
"18",18,15,21,30,16,26,7
"19",19,12,17,15,11,9,9
"20",20,17,25,19,14,21,14
"21",21,16,12,14,9,22,13
"22",22,12,17,24,12,15,13
"23",23,18,21,14,14,13,9
"24",24,14,21,19,10,20,9
"25",25,10,19,12,13,24,12
"26",26,19,22,20,14,21,13
"27",27,16,21,16,11,17,11
"28",28,21,22,16,19,21,12
"29",29,19,19,20,13,20,12
"30",30,17,25,18,11,17,15
"31",31,12,15,14,10,13,8
"32",32,14,22,17,15,18,9
"33",33,19,20,18,14,20,9
"34",34,10,15,20,6,15,9
"35",35,17,20,19,10,21,11
"36",36,23,25,22,8,14,11
"37",37,12,17,20,9,18,7
"38",38,23,23,26,18,19,14
"39",39,25,27,21,14,23,15
"40",40,12,15,19,9,19,10
"41",41,24,28,19,18,28,18
"42",42,14,20,13,13,13,12
"43",43,12,16,22,14,16,7
"44",44,16,18,16,12,15,10
"45",45,10,14,19,9,16,10
"46",46,22,15,13,11,15,10
"47",47,21,21,15,13,22,11
"48",48,12,18,16,14,11,11
"49",49,16,23,19,11,20,10
"50",50,16,23,14,11,19,14
"51",51,14,20,12,13,19,7
"52",52,16,21,18,10,18,11
"53",53,9,16,14,12,14,8
"54",54,10,14,11,11,10,8
"55",55,17,24,12,12,21,12
"56",56,13,21,22,13,22,14
"57",57,9,11,15,6,16,12
"58",58,13,21,21,11,24,12
"59",59,13,19,12,14,17,7
"60",60,10,15,7,14,18,12
"61",61,19,19,14,5,14,11
"62",62,14,19,13,7,17,11
"63",63,14,23,18,12,16,13
"64",64,11,16,13,12,16,11
"65",65,18,23,12,5,22,20
"66",66,20,20,27,14,18,13
"67",67,10,14,11,10,11,9
"68",68,10,16,13,16,15,12
"69",69,7,12,13,6,19,9
"70",70,12,12,13,8,10,6
"71",71,8,13,14,9,11,9
"72",72,13,17,14,13,21,14
"73",73,10,15,6,7,18,13
"74",74,13,16,12,14,21,8
"75",75,18,21,16,9,16,15
"76",76,11,21,20,11,15,11
"77",77,16,24,11,11,18,12
"78",78,15,23,23,12,15,10
"79",79,12,18,21,9,16,11
"80",80,8,14,8,5,10,7
"81",81,10,15,14,10,19,10
"82",82,18,19,16,12,19,9
"83",83,18,16,18,13,14,9
"84",84,17,23,16,11,21,13
"85",85,19,20,16,6,16,16
"86",86,17,25,25,14,19,18
"87",87,17,20,21,12,21,13
"88",88,12,19,15,10,17,14
"89",89,17,23,15,13,17,14
"90",90,12,18,19,10,15,13
"91",91,14,14,15,5,17,10
"92",92,18,20,20,13,9,12
"93",93,9,17,21,7,11,10
"94",94,18,21,12,13,20,8
"95",95,11,13,11,14,15,9
"96",96,14,20,17,12,13,8
"97",97,18,18,23,14,22,13
"98",98,12,14,18,6,11,13
"99",99,12,19,17,12,15,9
