FIPS,PerCapitaIncome
72-047,7887
72-095,8830
72-111,7983
72-113,10775
72-131,8072
72-135,14162
72-137,12240
72-147,11136
72-151,8672
72-003,9001
72-025,13904
72-029,11094
72-041,10965
72-043,10307
72-051,15495
72-089,10434
72-019,7716
72-107,7326
72-129,10497
72-011,9344
72-037,11840
72-039,8049
72-045,7047
72-071,8798
72-073,7179
72-081,8212
72-085,10342
72-119,10804
72-127,18160
72-143,10492
72-145,10197
72-093,5943
72-009,10224
72-059,8347
72-077,9017
72-079,7229
72-121,9158
72-001,7117
72-027,9738
72-055,7207
72-067,11588
72-091,10559
72-103,10016
72-105,8996
72-125,9563
72-141,8140
72-013,9954
72-015,7639
72-033,11627
72-054,7837
72-065,10360
72-069,11682
72-075,10244
72-101,8816
72-097,10656
72-133,10478
72-139,15703
72-115,9287
72-057,9183
72-099,7881
72-049,11450
72-063,16559
72-123,8738
72-017,8762
72-087,8729
72-153,8124
72-061,24264
72-005,10872
72-023,9523
72-053,10900
72-083,7154
72-109,8679
72-117,10220
72-149,10449
72-007,10615
72-021,14138
72-031,16188
72-035,12594
01-099,17264
01-079,22419
01-081,26170
01-093,21835
01-107,20089
01-119,14739
01-073,29456
01-023,20994
01-059,19314
01-091,22996
01-113,21279
01-019,23010
01-039,22431
01-041,21580
01-047,18248
01-077,25803
01-085,18976
01-087,19564
01-083,26685
01-117,35330
01-115,24686
01-133,20580
01-003,29364
01-043,21857
01-051,26251
01-069,24781
01-071,20946
01-121,21382
01-125,24895
01-129,23239
01-027,21330
01-031,26216
01-103,25013
01-109,20808
01-021,23368
01-033,23675
01-037,20342
01-045,23194
01-065,20269
01-055,22278
01-049,20020
01-053,18164
01-075,21152
01-111,20983
01-013,19004
01-097,24347
01-035,16337
01-105,13449
01-127,21217
01-029,20873
01-063,14197
01-005,17561
01-007,20911
01-011,20856
01-015,23638
01-017,22002
01-025,20765
01-057,21191
01-101,26712
01-095,22710
01-009,22021
01-067,23983
01-089,34232
01-001,27824
01-123,22430
01-061,21084
01-131,15774
02-150,32625
02-068,33084
02-261,37935
02-122,33336
02-016,35998
02-060,42002
02-188,21879
02-050,18654
02-185,48777
02-220,36617
02-090,35328
02-130,33771
02-170,30409
02-282,32393
02-180,20952
02-070,24647
02-100,35907
02-110,41904
02-164,23434
02-240,31051
02-290,21057
02-020,38977
02-013,31254
02-198,26695
02-275,29943
02-105,33704
02-230,39376
02-195,35044
02-158,11693
04-019,27323
04-013,30186
04-007,22433
04-009,17874
04-023,19482
04-003,24896
04-012,21707
04-015,23527
04-001,13865
04-005,25722
04-025,27504
04-027,20600
04-011,24935
04-017,17685
04-021,22944
05-145,23120
05-099,18644
05-123,16518
05-119,29855
05-021,19171
05-037,22894
05-039,18309
05-043,20300
05-027,20296
05-121,20932
05-125,28410
05-141,20568
05-009,22288
05-065,19737
05-063,23056
05-079,13142
05-083,19708
05-053,25814
05-035,20721
05-047,19988
05-045,25240
05-109,20180
05-069,20371
05-089,19200
05-097,21480
05-127,18077
05-129,21475
05-131,23916
05-033,22104
05-007,30611
05-017,20560
05-059,20868
05-071,18757
05-077,15610
05-087,23203
05-041,18187
05-049,19674
05-061,23627
05-051,25690
05-093,20378
05-115,21650
05-117,22653
05-139,23463
05-147,19987
05-023,26189
05-025,23171
05-067,19458
05-057,18817
05-135,20078
05-137,19881
05-143,26371
05-055,22094
05-005,24737
