FIPS,Male:Age19_25,Male:Age26_34,Female:Age19_25,Female:Age26_34
72-047,92,391,35,0
72-095,39,95,0,20
72-111,20,136,58,40
72-113,692,1385,437,476
72-131,235,286,123,176
72-135,501,968,247,280
72-137,425,759,334,337
72-147,48,64,110,0
72-151,90,138,38,114
72-003,178,343,98,245
72-025,811,1336,355,698
72-029,303,760,147,343
72-041,316,324,13,143
72-043,181,308,93,101
72-051,147,131,10,224
72-089,113,96,8,116
72-019,118,137,93,16
72-107,59,70,56,18
72-129,66,310,178,173
72-011,94,157,35,79
72-037,97,42,12,59
72-039,77,180,38,15
72-045,6,0,27,110
72-071,178,250,122,243
72-073,174,100,7,0
72-081,162,193,122,83
72-085,108,204,69,284
72-119,307,740,119,300
72-127,2334,4550,1957,2424
72-143,133,168,96,169
72-145,279,236,242,337
72-093,0,17,0,16
72-009,61,58,24,42
72-059,24,148,14,63
72-077,341,256,55,230
72-079,32,144,65,67
72-121,133,184,91,180
72-001,24,92,35,127
72-027,161,243,146,200
72-055,32,167,61,9
72-067,39,139,0,139
72-091,230,444,235,238
72-103,60,261,229,145
72-105,259,295,156,40
72-125,90,70,48,130
72-141,201,143,69,128
72-013,543,690,120,395
72-015,148,54,69,54
72-033,229,261,68,105
72-054,25,76,0,25
72-065,94,395,188,181
72-069,122,273,94,189
72-075,248,366,123,107
72-101,233,370,150,38
72-097,624,659,323,282
72-133,61,285,104,202
72-139,409,1007,160,493
72-115,120,216,80,104
72-057,460,127,122,175
72-099,75,341,83,59
72-049,15,80,0,17
72-063,285,396,121,237
72-123,240,149,56,43
72-017,81,162,0,21
72-087,352,296,205,130
72-153,188,224,73,76
72-061,668,1038,304,390
72-005,300,383,106,99
72-023,143,277,18,151
72-053,190,338,161,173
72-083,61,38,5,8
72-109,135,77,45,54
72-117,17,93,4,38
72-149,48,114,85,15
72-007,116,414,89,69
72-021,1550,1939,772,1057
72-031,1569,2004,713,987
72-035,302,541,154,157
01-099,282,332,162,322
01-079,184,550,174,415
01-081,2202,1808,1569,1589
01-093,340,299,255,229
01-107,279,190,178,215
01-119,502,52,353,200
01-073,6787,9727,5380,6793
01-023,172,152,160,96
01-059,457,339,463,357
01-091,311,369,195,141
01-113,849,981,783,808
01-019,240,121,236,157
01-039,648,310,402,347
01-041,196,180,116,145
01-047,727,599,531,567
01-077,1094,1239,851,1209
01-085,74,148,110,14
01-087,168,376,126,144
01-083,1072,1619,636,1137
01-117,1381,2175,1043,1478
01-115,642,577,802,572
01-133,308,248,135,249
01-003,1903,2960,1493,2114
01-043,738,1378,816,1161
01-051,520,981,391,731
01-069,967,1802,918,1098
01-071,526,985,285,764
01-121,815,989,701,1087
01-125,2745,2496,2458,1445
01-129,116,165,69,140
01-027,73,118,108,268
01-031,706,558,614,531
01-103,1391,1801,969,1706
01-109,574,325,344,216
01-021,604,1037,610,623
01-033,457,593,273,451
01-037,183,113,61,147
01-045,620,772,404,656
01-065,168,119,109,263
01-055,968,1616,698,1276
01-049,1032,1335,836,1386
01-053,597,428,312,435
01-075,152,32,155,199
01-111,238,314,309,188
01-013,179,248,273,267
01-097,4756,6091,4232,5935
01-035,199,232,304,131
01-105,293,105,203,139
01-127,645,1045,492,769
01-029,123,172,125,202
01-063,88,156,44,133
01-005,346,408,188,306
01-007,117,190,54,218
01-011,169,241,173,105
01-015,1341,1791,823,1153
01-017,515,461,464,375
01-025,317,200,330,374
01-057,146,150,137,86
01-101,3114,3863,2586,3178
01-095,1652,1807,999,1838
01-009,511,737,410,568
01-067,292,180,130,66
01-089,3393,4540,2878,4420
01-001,534,384,475,543
01-123,467,349,221,568
01-061,390,423,288,367
01-131,242,170,219,139
02-150,182,446,130,246
02-068,54,48,39,25
02-261,257,134,79,62
02-122,999,904,527,887
02-016,90,220,31,101
02-060,11,11,2,12
02-188,291,337,170,204
02-050,473,467,369,243
02-185,196,221,116,152
02-220,77,186,84,170
02-090,953,1546,605,612
02-130,183,240,71,163
02-170,1683,1825,1117,1451
02-282,14,7,8,4
02-180,288,384,185,179
02-070,159,120,104,67
02-100,66,56,1,11
02-110,239,400,382,288
02-164,60,34,26,28
02-240,127,182,41,90
02-290,183,200,116,116
02-020,3460,4475,2847,4116
02-013,101,207,60,103
02-198,119,197,65,101
02-275,50,35,15,41
02-105,44,54,24,29
02-230,14,35,18,8
02-195,7,39,44,19
02-158,217,331,166,115
04-019,12040,12198,10341,7483
04-013,48132,61881,36264,40894
04-007,620,579,380,394
04-009,307,260,335,261
04-023,335,483,392,260
04-003,888,684,495,656
04-012,202,230,34,224
04-015,1715,2698,938,1482
04-001,1299,1514,1124,1059
04-005,2662,2213,1700,1534
04-025,1513,2172,1266,1692
04-027,3441,2928,2061,1966
04-011,72,81,26,76
04-017,2006,1188,1145,862
04-021,3088,4095,2373,2912
05-145,493,1205,741,563
05-099,126,89,49,101
05-123,321,627,130,266
05-119,4371,5871,3097,4616
05-021,160,147,147,94
05-037,145,129,77,137
05-039,58,105,34,68
05-043,139,191,155,145
05-027,412,69,293,212
05-121,380,265,109,84
05-125,1188,1269,463,901
05-141,154,319,198,201
05-009,387,318,321,169
05-065,103,100,58,64
05-063,337,374,415,329
05-079,35,76,75,115
05-083,88,237,175,131
05-053,106,167,57,127
05-035,391,468,517,590
05-047,249,94,180,188
05-045,1957,1285,1529,1199
05-109,177,97,74,143
05-069,810,732,521,692
05-089,72,184,118,78
05-097,108,100,74,101
05-127,42,182,88,69
05-129,35,124,63,36
05-131,1502,1751,1356,1680
05-033,653,659,466,823
05-007,2018,3407,1844,2983
05-017,119,116,78,124
05-059,240,531,313,379
05-071,367,359,344,172
05-077,139,205,76,79
