FIPS,Male:Age18_19,Male:Age20,Male:Age21,Male:Age22_24,Male:Age25_29,Male:Age30_34,Female:Age18_19,Female:Age20,Female:Age21,Female:Age22_24,Female:Age25_29,Female:Age30_34
72-047,526,289,323,662,1178,1047,498,370,266,649,1180,1172
72-095,170,117,50,208,322,284,163,87,14,261,357,309
72-111,299,193,179,433,742,634,309,137,286,384,804,692
72-113,2259,1438,1437,3053,5211,4479,2097,1311,1225,2776,4856,4351
72-131,533,138,227,858,1098,1059,512,164,348,657,1060,1132
72-135,1154,429,670,1649,2493,2232,1144,632,598,1605,2571,2441
72-137,1140,702,601,1583,2669,2547,1113,501,545,1860,2899,2856
72-147,72,0,0,305,262,629,127,8,42,200,261,122
72-151,486,237,327,637,1018,917,496,217,385,652,1128,989
72-003,566,266,359,780,1285,1160,547,272,339,764,1262,1190
72-025,1875,1156,951,2543,4098,3856,1792,1070,884,2789,4500,4411
72-029,731,413,377,1037,1482,1208,614,303,371,871,1498,1468
72-041,605,379,278,822,1385,1220,567,313,241,894,1352,1346
72-043,532,314,284,691,1222,1167,502,222,309,673,1263,1367
72-051,525,383,188,599,982,1058,500,439,159,611,1074,1182
72-089,273,102,156,426,518,472,294,213,129,331,609,565
72-019,511,340,118,759,1107,955,467,427,86,643,1061,922
72-107,359,179,267,460,724,646,329,173,342,321,737,653
72-129,561,258,358,716,1239,1171,527,220,265,896,1243,1282
72-011,406,157,189,660,843,797,373,268,225,443,830,824
72-037,145,53,119,301,360,308,82,153,67,294,417,362
72-039,228,179,168,264,543,505,234,49,142,425,600,536
72-045,297,141,191,461,731,656,276,77,145,476,692,661
72-071,609,348,221,973,1309,1254,558,326,249,819,1352,1338
72-073,254,61,204,364,543,478,280,122,45,319,524,485
72-081,365,244,104,642,896,827,361,144,216,545,883,869
72-085,513,275,138,821,1147,1175,513,211,284,807,1334,1409
72-119,764,263,750,944,1808,1565,705,507,250,1099,1637,1544
72-127,4604,2463,2606,6991,11126,10086,5051,2475,2981,7434,12396,11615
72-143,559,273,161,923,1246,1096,538,230,335,826,1375,1354
72-145,785,499,427,1011,1719,1555,730,412,229,1221,1819,1806
72-093,94,43,66,123,144,148,95,49,55,107,158,181
72-009,336,191,147,488,813,681,184,350,197,399,791,712
72-059,269,76,224,336,608,575,270,164,181,312,658,607
72-077,577,214,488,717,1278,1229,576,206,382,867,1393,1489
72-079,337,166,164,548,734,620,296,274,206,291,674,620
72-121,342,109,203,490,663,626,331,286,166,353,705,683
72-001,264,46,123,504,587,534,251,128,160,317,584,592
72-027,487,355,345,493,1013,918,459,274,227,683,1011,968
72-055,232,169,58,348,492,460,236,131,175,291,534,522
72-067,215,58,49,371,433,414,201,156,77,251,413,428
72-091,580,269,276,821,1136,1096,570,305,375,755,1323,1298
72-103,364,229,129,551,819,802,374,82,310,595,963,1002
72-105,419,135,259,737,1030,894,406,161,226,632,1014,918
72-125,499,274,322,656,986,846,500,206,293,715,944,875
72-141,424,276,188,608,925,790,391,252,191,583,964,884
72-013,1276,830,710,1786,2879,2536,1191,764,661,1624,2756,2594
72-015,248,242,156,215,533,524,263,210,36,412,598,639
72-033,360,171,150,583,886,776,367,128,306,511,924,858
72-054,188,132,88,366,243,333,209,135,0,297,424,359
72-065,565,198,323,883,1270,1179,519,191,217,938,1351,1371
72-069,804,501,351,911,1573,1473,748,481,416,1005,1703,1628
72-075,746,526,213,1036,1510,1244,693,399,426,978,1593,1560
72-101,487,328,179,713,1149,1005,484,305,255,641,1146,1042
72-097,1794,1072,1012,2681,2514,2162,1696,958,704,2562,2285,2133
72-133,367,203,192,400,603,628,337,110,270,472,739,751
72-139,1002,638,671,1145,2147,2021,928,718,276,1420,2307,2364
72-115,349,143,191,551,776,710,324,128,188,511,786,793
72-057,681,262,417,1107,1772,1435,587,335,241,831,1363,1360
72-099,543,305,236,761,1225,1148,550,315,265,757,1275,1248
72-049,8,0,0,21,90,95,8,8,20,21,81,54
72-063,672,367,314,906,1403,1413,672,489,143,1038,1553,1637
72-123,461,207,304,545,854,823,416,220,284,507,915,955
72-017,338,234,163,439,762,743,339,249,340,339,845,827
72-087,385,88,222,663,906,771,401,212,188,738,1072,924
72-153,524,138,304,756,1100,1004,474,327,213,648,1127,1093
72-061,1181,616,654,1907,3005,2864,1068,712,711,1513,2757,2885
72-005,839,274,450,1201,1748,1635,731,413,320,1066,1701,1702
72-023,695,248,347,973,1327,1233,652,264,474,917,1444,1398
72-053,487,233,252,728,1021,791,470,227,316,697,1074,957
72-083,123,58,51,212,300,246,120,17,122,186,284,264
72-109,250,97,186,365,538,464,230,66,98,437,543,494
72-117,153,109,126,173,335,362,178,0,212,206,393,408
72-149,428,196,267,487,754,619,373,150,179,564,794,708
72-007,395,186,261,495,843,804,351,419,183,300,883,832
72-021,2701,1274,1477,4420,7048,6023,2379,1289,1415,3768,6451,6165
72-031,2236,1242,1388,3073,4915,4468,2189,1557,1224,3162,5348,5035
72-035,639,436,288,897,1396,1278,611,341,252,993,1572,1390
01-099,215,106,211,420,516,500,318,110,115,385,597,592
01-079,433,123,203,606,1007,986,296,165,249,601,1034,925
01-081,3812,3317,2522,5869,6167,5042,3956,2735,2544,5551,5892,5353
01-093,346,293,201,346,880,755,312,160,174,469,847,775
01-107,270,124,56,473,564,615,247,166,96,311,728,632
01-119,383,192,178,383,349,207,387,160,223,355,598,320
01-073,8110,4516,4278,12834,23226,22020,8301,4502,4047,13645,25424,24188
01-023,137,58,106,214,314,307,186,73,24,235,327,352
01-059,388,270,254,737,968,1096,354,320,160,518,833,907
01-091,236,133,117,307,635,487,366,177,82,234,600,561
01-113,604,502,620,917,2420,2208,530,414,503,1072,2442,2111
01-019,305,117,237,343,679,541,233,139,70,406,673,636
01-039,328,214,317,590,1042,1029,336,270,134,656,1061,1102
01-041,242,96,73,193,418,298,171,107,54,208,399,388
01-047,533,444,224,622,1143,1030,562,252,291,900,1325,1264
01-077,1311,885,640,2314,2791,2622,1351,1263,830,2076,2728,2656
01-085,135,92,48,199,317,300,68,38,73,266,355,293
01-087,484,331,332,435,585,438,838,284,469,413,558,469
01-083,1168,417,654,1671,2864,3282,996,418,556,1535,2701,3075
01-117,2516,1309,1104,3506,6102,6691,2447,1381,1101,3598,6527,7159
01-115,822,453,472,1667,2766,2869,724,319,323,1849,2561,2904
01-133,239,117,74,430,669,695,225,233,68,302,611,621
01-003,2461,890,933,3509,5706,5648,2172,1185,1122,3067,5669,5726
01-043,920,576,548,1276,2645,2523,814,512,366,1614,2603,2249
01-051,1027,609,528,1785,2637,2620,857,552,870,1208,2764,2922
01-069,1097,704,646,1690,3287,3221,1026,509,720,1932,3571,3492
01-071,615,506,251,739,1451,1385,490,220,482,714,1462,1450
01-121,863,504,602,1423,2499,2383,953,556,566,1641,2590,2441
01-125,4849,2459,3051,7281,8362,6468,7557,2469,2429,6240,8288,6684
01-129,258,181,188,134,398,517,160,69,89,238,373,561
01-027,196,147,83,85,309,242,186,109,44,245,407,393
01-031,648,299,152,1056,1717,1635,545,154,432,932,1544,1544
01-103,1354,707,992,1915,3698,3730,1278,624,768,1962,3626,3577
01-109,725,1039,466,1338,1154,820,1078,869,570,991,1555,860
01-021,503,298,226,844,1355,1389,386,297,438,566,1461,1413
01-033,584,230,364,968,1660,1521,503,302,284,1069,1735,1601
01-037,178,127,35,219,190,258,67,94,39,174,255,351
01-045,553,260,322,1269,1962,1803,630,348,231,884,1664,1734
01-065,178,104,85,288,404,366,258,141,82,208,440,440
01-055,1177,676,769,1844,2999,2772,1124,834,576,1847,3034,3082
01-049,763,694,451,1158,2148,2164,880,374,389,1247,2122,2132
01-053,502,292,222,753,1361,1411,474,331,270,499,1005,1006
01-075,156,44,61,268,340,353,128,109,72,157,389,419
01-111,293,66,181,421,553,598,406,172,112,342,528,555
01-013,224,83,137,351,574,548,255,150,101,297,642,658
01-097,5112,3274,2962,8251,14298,12587,5351,2861,3028,8744,15532,14075
01-035,141,117,22,271,341,377,192,55,50,255,270,182
01-105,410,133,82,199,115,197,259,155,143,290,105,215
01-127,678,311,465,1229,2025,1796,765,394,202,1226,1942,1801
01-029,177,52,90,250,405,388,130,84,42,269,399,430
01-063,19,72,69,238,288,187,150,33,20,103,218,309
01-005,269,275,181,559,1184,1139,248,131,157,433,733,705
01-007,419,160,71,434,1003,1065,155,330,106,318,624,560
01-011,145,85,117,163,474,256,104,0,126,195,281,166
01-015,1570,1110,1000,1910,3846,3418,1571,538,756,2667,4071,3603
01-017,326,174,252,749,1050,909,319,197,172,752,1025,953
01-025,250,114,169,552,634,603,312,267,107,419,672,698
01-057,197,119,58,291,472,470,197,51,169,262,437,447
01-101,3325,1620,1635,5332,8347,7512,3030,1724,1673,5512,8937,8210
01-095,1174,421,565,2025,2996,2874,1030,410,695,1621,2966,2767
01-009,799,185,310,1167,1656,1711,603,442,274,847,1643,1690
01-067,171,124,74,396,369,350,162,33,120,326,415,465
01-089,5085,2088,2623,7788,12566,11771,4632,2334,2882,7124,12432,11816
01-001,716,421,472,927,1656,1612,583,450,155,1046,1886,1668
01-123,612,221,196,865,989,1034,519,229,159,671,1153,1124
01-061,315,148,248,355,695,697,259,172,162,348,797,768
01-131,189,115,123,109,280,261,91,146,50,153,344,306
02-150,197,196,87,174,772,618,227,56,52,199,585,545
02-068,18,65,28,85,71,50,52,35,44,61,83,113
02-261,109,21,124,333,307,320,51,46,54,81,423,246
02-122,789,363,358,1147,1913,1875,569,294,356,807,1675,1721
02-016,94,56,60,199,325,341,56,33,31,125,208,160
02-060,4,3,8,28,26,19,6,0,6,3,22,30
02-188,114,35,88,258,366,266,129,57,55,190,294,268
02-050,291,151,138,451,758,624,264,136,163,382,713,593
02-185,103,51,40,243,446,632,82,41,54,158,303,323
02-220,85,62,20,186,279,320,126,38,31,117,357,311
02-090,1720,1347,1332,4377,5780,4306,1236,574,1069,2370,4475,3776
02-130,140,133,86,279,491,470,138,87,94,206,430,447
02-170,1381,688,786,2097,3669,3788,1091,613,696,1670,3178,3454
02-282,8,6,2,12,18,23,2,3,7,13,36,15
02-180,143,66,111,232,441,363,122,61,59,230,395,309
02-070,75,49,46,109,182,186,74,35,32,134,202,143
02-100,26,72,3,9,97,117,39,2,4,15,75,54
02-110,453,176,219,766,1182,1248,322,243,232,582,1241,1064
02-164,9,17,22,36,36,43,15,3,4,41,66,54
02-240,78,62,22,138,319,243,93,65,3,93,216,165
02-290,73,33,37,119,209,200,62,32,30,95,171,159
02-020,3794,2526,2824,8702,14226,12549,3171,2177,1847,7013,13057,11818
02-013,39,29,9,136,167,140,29,10,6,79,77,94
02-198,86,39,42,106,209,205,62,31,27,88,204,171
02-275,27,18,14,20,61,73,23,2,9,24,75,67
02-105,15,6,16,50,52,58,14,12,2,30,42,42
02-230,20,0,5,12,34,77,3,0,0,33,16,53
02-195,37,19,77,98,74,70,48,16,8,55,63,100
